WMO_ID,Latitude,Longitude,Elevation,File
025650-99999,57.526,15.823,111.6,02565099999.csv
025660-99999,57.4,15.817,98,02566099999.csv
025700-99999,58.617,16.117,33,02570099999.csv
025710-99999,58.586,16.251,9.8,02571099999.csv
025740-99999,58.583,16.15,41.6,02574099999.csv
025760-99999,57.717,16.467,35,02576099999.csv
025820-99999,58.75,17.867,32,02582099999.csv
025840-99999,58.4,19.2,12,02584099999.csv
025870-99999,57.917,18.95,13,02587099999.csv
025880-99999,57.9,19.167,8,02588099999.csv
025900-99999,57.663,18.346,50,02590099999.csv
025920-99999,57.367,17.1,4,02592099999.csv
025980-99999,57.433,18.983,5,02598099999.csv
026040-99999,56.691,12.82,30.8,02604099999.csv
026050-99999,56.45,12.55,10,02605099999.csv
026060-99999,56.3,12.45,72,02606099999.csv
026070-99999,56.283,12.083,18,02607099999.csv
026110-99999,56.033,12.767,44,02611099999.csv
026160-99999,55.383,12.817,5,02616099999.csv
026220-99999,56.85,13.883,148,02622099999.csv
026230-99999,55.867,13.667,114,02623099999.csv
026250-99999,55.483,14.317,5,02625099999.csv
026260-99999,56.367,13.95,85,02626099999.csv
026280-99999,56.017,14.85,60,02628099999.csv
026300-99999,56.083,13.233,52,02630099999.csv
026320-99999,55.95,15.7,3,02632099999.csv
026350-99999,55.567,13.067,21,02635099999.csv
026360-99999,55.53,13.372,71.9,02636099999.csv
026400-99999,56.867,14.8,166,02640099999.csv
026410-99999,56.929,14.728,185.9,02641099999.csv
026440-99999,56.2,16.4,3,02644099999.csv
026480-99999,56.85,14.833,200,02648099999.csv
026500-99999,56.017,14.85,55,02650099999.csv
026510-99999,55.922,14.086,23.2,02651099999.csv
026610-99999,56.833,15.467,232,02661099999.csv
026640-99999,56.267,15.265,58.2,02664099999.csv
026660-99999,56.033,15.8,3,02666099999.csv
026720-99999,56.686,16.288,5.2,02672099999.csv
026800-99999,56.917,18.15,39,02680099999.csv
027200-99999,67.701,24.847,196.3,02720099999.csv
027210-99999,63.95,22.85,6.3,02721099999.csv
027410-99999,60.183,19.983,11,02741099999.csv
027510-99999,61.633,21.383,4.6,02751099999.csv
027550-99999,64.05,24.717,76,02755099999.csv
027590-99999,60.4,25.6,23.5,02759099999.csv
027690-99999,62.417,22.183,93,02769099999.csv
027730-99999,60.45,22.183,9.1,02773099999.csv
027770-99999,60.467,23.65,117,02777099999.csv
027890-99999,63.383,28.667,165.5,02789099999.csv
027900-99999,60.25,20.75,22.5,02790099999.csv
028010-99999,69.05,20.783,482.7,02801099999.csv
028050-99999,69.75,27,106.3,02805099999.csv
028070-99999,68.607,27.405,146.6,02807099999.csv
028075-99999,68.363,23.424,306.3,02807599999.csv
028140-99999,66.717,27.167,208,02814099999.csv
028160-99999,68.083,27.183,248.8,02816099999.csv
028230-99999,67.967,23.683,252.6,02823099999.csv
028240-99999,67.983,24.25,349.5,02824099999.csv
028340-99999,63.833,27.217,207.6,02834099999.csv
028360-99999,67.395,26.619,183.5,02836099999.csv
028440-99999,66.767,23.967,85.9,02844099999.csv
028450-99999,66.565,25.83,196.6,02845099999.csv
028480-99999,66.817,28.667,223,02848099999.csv
028490-99999,66.833,28.667,221.7,02849099999.csv
028620-99999,65.667,24.517,3.1,02862099999.csv
028630-99999,65.383,24.1,19,02863099999.csv
